,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Round 1,,,Round 2,,,Round 3,,,Round 4,,,Round 5,,,Round 6,,,Total,,,,,,,,
,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,Pts,,,,,,,,
,,,29,,,4,,,0,,,0,,,0,,,0,,33,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slayton,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
10,Arkansas,W,10,,W,10,,L,0,,L,0,,L,0,,L,0,,20,,,,,,,,
9,Baylor,W,9,,L,0,,L,0,,L,0,,L,0,,L,0,,9,,,,,,,,
13,Akron,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,High Point,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
7,Saint Mary's,W,7,,L,0,,L,0,,L,0,,L,0,,L,0,,7,,,,,,,,
7,Marquette,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Uconn,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
,,,46,,,10,,,0,,,0,,,0,,,0,,56,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swamp Izzo > Tom Izzo,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Bryant,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,Yale,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
9,Creighton,W,9,,L,0,,L,0,,L,0,,L,0,,L,0,,9,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
10,Arkansas,W,10,,W,10,,L,0,,L,0,,L,0,,L,0,,20,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
10,Vanderbilt,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
9,Baylor,W,9,,L,0,,L,0,,L,0,,L,0,,L,0,,9,,,,,,,,
12,McNeese,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
11,Xavier,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,52,,,10,,,0,,,0,,,0,,,0,,62,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C Cedorchuk,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Michigan,W,5,,W,5,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
7,Marquette,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
14,Troy,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,High Point,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
4,Arizona,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
11,Xavier,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
7,Kansas ,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,BYU,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
,,,27,,,15,,,0,,,0,,,0,,,0,,42,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B Cedorchuk,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Drake ,W,11,,L,0,,L,0,,L,0,,L,0,,L,0,,11,,,,,,,,
8,Uconn,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
6,BYU,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
5,Michigan,W,5,,W,5,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
14,Troy,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,Akron,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,Grand Canyon,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Memphis,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
3,Texas Tech,W,3,,W,3,,W,3,,L,0,,L,0,,L,0,,9,,,,,,,,
,,,33,,,14,,,3,,,0,,,0,,,0,,50,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curt/Beers I,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Maryland,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,Ole Miss,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
11,Xavier,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
14,Lipscomb,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Uconn,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
15,Robert Morris,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Liberty,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,30,,,10,,,0,,,0,,,0,,,0,,40,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curt/Beers II,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,Xavier,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,High Point,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
10,Vanderbilt,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,Ole Miss,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
7,Kansas ,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
13,Yale,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,26,,,6,,,0,,,0,,,0,,,0,,32,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Russillo's,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
6,Ole Miss,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
12,UC San Diego,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,Missouri,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Oregon,W,5,,L,0,,L,0,,L,0,,L,0,,L,0,,5,,,,,,,,
11,Xavier,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Louisville,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,Yale,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
,,,31,,,6,,,0,,,0,,,0,,,0,,37,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arch Manning,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,UC San Diego,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
7,Kansas ,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,Xavier,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
10,New Mexico,W,10,,L,0,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
10,Utah State,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
11,Drake ,W,11,,L,0,,L,0,,L,0,,L,0,,L,0,,11,,,,,,,,
13,High Point,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,BYU,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
,,,39,,,6,,,0,,,0,,,0,,,0,,45,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Money Mac,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Drake ,W,11,,L,0,,L,0,,L,0,,L,0,,L,0,,11,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
7,Saint Mary's,W,7,,L,0,,L,0,,L,0,,L,0,,L,0,,7,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
8,Louisville,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
9,Baylor,W,9,,L,0,,L,0,,L,0,,L,0,,L,0,,9,,,,,,,,
5,Michigan,W,5,,W,5,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
,,,52,,,5,,,0,,,0,,,0,,,0,,57,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Layman/Capas,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Illinois,W,6,,L,0,,L,0,,L,0,,L,0,,L,0,,6,,,,,,,,
6,Ole Miss,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
7,Kansas ,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
10,New Mexico,W,10,,L,0,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
10,Vanderbilt,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,McNeese,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
13,High Point,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,Grand Canyon,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,42,,,6,,,0,,,0,,,0,,,0,,48,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kingsley,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
13,Yale,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Michigan,W,5,,W,5,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
11,Drake ,W,11,,L,0,,L,0,,L,0,,L,0,,L,0,,11,,,,,,,,
7,Marquette,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,Xavier,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,36,,,5,,,0,,,0,,,0,,,0,,41,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alex Aruri,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
9,Creighton,W,9,,L,0,,L,0,,L,0,,L,0,,L,0,,9,,,,,,,,
10,Arkansas,W,10,,W,10,,L,0,,L,0,,L,0,,L,0,,20,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,Drake ,W,11,,L,0,,L,0,,L,0,,L,0,,L,0,,11,,,,,,,,
12,UC San Diego,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
13,Akron,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
14,Lipscomb,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,50,,,10,,,0,,,0,,,0,,,0,,60,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crow/Marks,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
13,High Point,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,UC San Diego,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Uconn,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
7,Kansas ,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
10,New Mexico,W,10,,L,0,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
7,Saint Mary's,W,7,,L,0,,L,0,,L,0,,L,0,,L,0,,7,,,,,,,,
,,,45,,,0,,,0,,,0,,,0,,,0,,45,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alec Joyce,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Drake ,W,11,,L,0,,L,0,,L,0,,L,0,,L,0,,11,,,,,,,,
7,UCLA,W,7,,L,0,,L,0,,L,0,,L,0,,L,0,,7,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
7,Saint Mary's,W,7,,L,0,,L,0,,L,0,,L,0,,L,0,,7,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
5,Michigan,W,5,,W,5,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
5,Oregon,W,5,,L,0,,L,0,,L,0,,L,0,,L,0,,5,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
7,Marquette,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
3,Texas Tech,W,3,,W,3,,W,3,,L,0,,L,0,,L,0,,9,,,,,,,,
,,,46,,,8,,,3,,,0,,,0,,,0,,57,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entwistle,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Drake ,W,11,,L,0,,L,0,,L,0,,L,0,,L,0,,11,,,,,,,,
12,McNeese,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
13,High Point,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,BYU,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
7,Kansas ,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Liberty,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,UC San Diego,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
11,Xavier,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,41,,,6,,,0,,,0,,,0,,,0,,47,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geno,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Memphis,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,BYU,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
6,Ole Miss,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
12,McNeese,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
9,Georgia,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Michigan,W,5,,W,5,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
15,Omaha,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
14,Troy,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
7,Saint Mary's,W,7,,L,0,,L,0,,L,0,,L,0,,L,0,,7,,,,,,,,
6,Missouri,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,36,,,17,,,0,,,0,,,0,,,0,,53,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toolan/Gnieski I,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Louisville,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
14,Lipscomb,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
4,Maryland,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
11,Drake ,W,11,,L,0,,L,0,,L,0,,L,0,,L,0,,11,,,,,,,,
10,Arkansas,W,10,,W,10,,L,0,,L,0,,L,0,,L,0,,20,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Oregon,W,5,,L,0,,L,0,,L,0,,L,0,,L,0,,5,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
,,,38,,,14,,,0,,,0,,,0,,,0,,52,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toolan/Gnieski II,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Yale,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
7,Marquette,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Uconn,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
3,Texas Tech,W,3,,W,3,,W,3,,L,0,,L,0,,L,0,,9,,,,,,,,
9,Baylor,W,9,,L,0,,L,0,,L,0,,L,0,,L,0,,9,,,,,,,,
7,Saint Mary's,W,7,,L,0,,L,0,,L,0,,L,0,,L,0,,7,,,,,,,,
10,Utah State,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,Illinois,W,6,,L,0,,L,0,,L,0,,L,0,,L,0,,6,,,,,,,,
13,High Point,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,45,,,3,,,3,,,0,,,0,,,0,,51,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pat/Owen,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,Akron,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
9,Georgia,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
14,Montana,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
4,Purdue,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
4,Maryland,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
10,Arkansas,W,10,,W,10,,L,0,,L,0,,L,0,,L,0,,20,,,,,,,,
9,Creighton,W,9,,L,0,,L,0,,L,0,,L,0,,L,0,,9,,,,,,,,
,,,39,,,18,,,0,,,0,,,0,,,0,,57,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eyeball,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,UC San Diego,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
10,New Mexico,W,10,,L,0,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
13,Grand Canyon,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,Drake ,W,11,,L,0,,L,0,,L,0,,L,0,,L,0,,11,,,,,,,,
7,Saint Mary's,W,7,,L,0,,L,0,,L,0,,L,0,,L,0,,7,,,,,,,,
12,Liberty,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
9,Georgia,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
10,Utah State,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,Xavier,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,40,,,0,,,0,,,0,,,0,,,0,,40,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Matt Toolan,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
10,Arkansas,W,10,,W,10,,L,0,,L,0,,L,0,,L,0,,20,,,,,,,,
6,Missouri,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
4,Maryland,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
8,Mississippi St,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
4,Texas A&M,W,4,,L,0,,L,0,,L,0,,L,0,,L,0,,4,,,,,,,,
4,Arizona,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
2,Alabama,W,2,,W,2,,W,2,,L,0,,L,0,,L,0,,6,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,24,,,20,,,2,,,0,,,0,,,0,,46,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EBags,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,Yale,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Liberty,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
7,Kansas ,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,Xavier,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
10,New Mexico,W,10,,L,0,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
,,,30,,,0,,,0,,,0,,,0,,,0,,30,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CMcGov,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Texas Tech,W,3,,W,3,,W,3,,L,0,,L,0,,L,0,,9,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
10,Arkansas,W,10,,W,10,,L,0,,L,0,,L,0,,L,0,,20,,,,,,,,
4,Arizona,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,Illinois,W,6,,L,0,,L,0,,L,0,,L,0,,L,0,,6,,,,,,,,
4,Texas A&M,W,4,,L,0,,L,0,,L,0,,L,0,,L,0,,4,,,,,,,,
7,UCLA,W,7,,L,0,,L,0,,L,0,,L,0,,L,0,,7,,,,,,,,
,,,46,,,17,,,3,,,0,,,0,,,0,,66,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rockies,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Creighton,W,9,,L,0,,L,0,,L,0,,L,0,,L,0,,9,,,,,,,,
5,Michigan,W,5,,W,5,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Uconn,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
7,Kansas ,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
3,Kentucky,W,3,,W,3,,L,0,,L,0,,L,0,,L,0,,6,,,,,,,,
