,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Round 1,,,Round 2,,,Round 3,,,Round 4,,,Round 5,,,Round 6,,,Total,,,,,,,,
,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,Pts,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,0,0,10,,,,
13,High Point,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,0,0,10,,,,
13,Akron,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,0,0,10,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,0,0,10,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,0,0,10,,,,
10,Utah State,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,0,0,10,,,,
,,,22,,,10,,,0,,,0,,,0,,,0,,32,,0,0,10,,,,
,,,,,,,,,,,,,,,,,,,,,,0,0,10,,,,
,Levy,,,,,,,,,,,,,,,,,,,,,0,0,10,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,0,0,10,,,,
6,Missouri,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,0,0,10,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,High Point,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
10,Arkansas,W,10,,W,10,,L,0,,L,0,,L,0,,L,0,,20,,,,,,,,
4,Maryland,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
7,Marquette,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,Ole Miss,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
1,Duke,W,1,,W,1,,W,1,,W,1,,,0,,,0,,4,,,,,,,,
8,Louisville,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,33,,,21,,,1,,,1,,,0,,,0,,56,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Greenes,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Oregon,W,5,,L,0,,L,0,,L,0,,L,0,,L,0,,5,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,Missouri,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
7,Marquette,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
10,Vanderbilt,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
12,UC San Diego,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,Yale,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,17,,,0,,,0,,,0,,,0,,,0,,17,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gutkin,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
7,Kansas ,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
7,Marquette,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Uconn,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
4,Maryland,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
4,Arizona,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
3,Texas Tech,W,3,,W,3,,W,3,,L,0,,L,0,,L,0,,9,,,,,,,,
,,,39,,,11,,,3,,,0,,,0,,,0,,53,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gryboski,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
6,BYU,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,Xavier,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,UC San Diego,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
13,Yale,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,Drake ,W,11,,L,0,,L,0,,L,0,,L,0,,L,0,,11,,,,,,,,
12,Liberty,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,37,,,6,,,0,,,0,,,0,,,0,,43,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meisner,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
11,Xavier,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Oregon,W,5,,L,0,,L,0,,L,0,,L,0,,L,0,,5,,,,,,,,
10,Vanderbilt,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
3,Iowa State,W,3,,L,0,,L,0,,L,0,,L,0,,L,0,,3,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Uconn,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
7,Kansas ,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,High Point,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
2,St John's,W,2,,L,0,,L,0,,L,0,,L,0,,L,0,,2,,,,,,,,
,,,30,,,0,,,0,,,0,,,0,,,0,,30,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RAM,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,New Mexico,W,10,,L,0,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
13,Yale,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,UC San Diego,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
4,Maryland,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
11,Drake ,W,11,,L,0,,L,0,,L,0,,L,0,,L,0,,11,,,,,,,,
5,Oregon,W,5,,L,0,,L,0,,L,0,,L,0,,L,0,,5,,,,,,,,
9,Georgia,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,Akron,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,42,,,4,,,0,,,0,,,0,,,0,,46,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
